timestamp,coliforms_GA
2012-01-02 10:44:00,770
2012-01-04 10:32:00,1400
2012-01-05 09:45:00,1500
2012-01-09 10:00:00,340
2012-01-11 14:27:00,3400
2012-01-13 11:30:00,2000
2012-01-14 12:55:00,1200
2012-01-16 14:12:00,560
2012-01-18 12:05:00,450
2012-01-20 11:10:00,1200
2012-01-23 13:25:00,590
2012-01-25 09:05:00,350
2012-01-27 09:30:00,1300
2012-01-30 12:30:00,1200
2012-02-01 13:30:00,610
2012-02-03 08:30:00,290
2012-02-06 09:53:00,170
2012-02-08 10:15:00,140
2012-02-10 11:50:00,460
2012-02-13 13:15:00,470
2012-02-14 14:50:00,320
2012-02-15 12:55:00,960
2012-02-17 11:00:00,1300
2012-02-20 13:45:00,440
2012-02-22 12:20:00,1000
2012-02-24 11:05:00,3300
2012-02-27 13:50:00,1500
2012-02-29 13:05:00,330
2012-03-02 14:45:00,200
2012-03-05 11:55:00,2400
2012-03-07 11:35:00,390
2012-03-09 13:50:00,910
2012-03-12 14:20:00,200
2012-03-14 11:00:00,220
2012-03-16 11:10:00,110
2012-03-19 13:40:00,360
2012-03-21 11:30:00,410
2012-03-23 11:00:00,1400
2012-03-26 13:20:00,4100
2012-03-28 10:40:00,880
2012-03-30 08:20:00,440
2012-04-02 12:31:00,570
2012-04-04 11:30:00,1000
2012-04-05 08:50:00,610
2012-04-09 10:55:00,1900
2012-04-11 11:45:00,1400
2012-04-13 11:00:00,1300
2012-04-16 13:20:00,910
2012-04-20 08:55:00,760
2012-04-23 13:00:00,1100
2012-04-27 10:20:00,990
2012-04-30 14:35:00,430
2012-05-02 13:35:00,570
2012-05-04 09:48:00,710
2012-05-07 13:30:00,330
2012-05-10 09:45:00,410
2012-05-14 12:30:00,610
2012-05-18 08:20:00,760
2012-05-21 13:09:00,340
2012-05-24 10:35:00,360
2012-05-28 15:28:00,380
2012-05-31 13:30:00,370
2012-06-04 14:45:00,440
2012-06-07 11:45:00,320
2012-06-11 13:07:00,2600
2012-06-14 09:30:00,790
2012-06-18 16:08:00,1000
2012-06-21 09:00:00,530
2012-06-25 15:07:00,12000
2012-06-28 11:45:00,3900
2012-07-02 13:43:00,2100
2012-07-05 09:10:00,880
2012-07-09 14:39:00,650
2012-07-12 09:00:00,2600
2012-07-16 14:30:00,370
2012-07-19 09:25:00,350
2012-07-23 14:10:00,230
2012-07-26 09:34:00,300
2012-07-30 14:14:00,2000
2012-08-01 10:55:00,650
2012-08-03 12:30:00,14000
2012-08-04 13:50:00,6700
2012-08-05 13:00:00,3700
2012-08-06 13:42:00,1900
2012-08-07 13:30:00,7700
2012-08-08 10:25:00,6100
2012-08-09 08:55:00,5800
2012-08-10 08:50:00,2000
2012-08-11 14:20:00,910
2012-08-12 13:00:00,580
2012-08-13 14:15:00,710
2012-08-14 12:05:00,650
2012-08-15 13:05:00,460
2012-08-17 13:00:00,640
2012-08-20 12:35:00,670
2012-08-22 09:05:00,600
2012-08-24 07:30:00,1000
2012-08-27 12:50:00,620
2012-08-29 11:25:00,620
2012-08-31 09:15:00,630
2012-09-03 12:15:00,430
2012-09-05 08:05:00,470
2012-09-07 12:10:00,2000
2012-09-10 13:25:00,460
2012-09-13 12:05:00,1300
2012-09-17 12:35:00,16000
2012-09-19 09:20:00,4100
2012-09-24 11:50:00,2700
2012-09-27 11:40:00,8700
2012-10-01 12:35:00,3900
2012-10-04 09:00:00,4100
2012-10-06 14:55:00,1200
2012-10-08 11:55:00,560
2012-10-11 11:30:00,830
2012-10-15 12:30:00,2300
2012-10-18 00:00:00,4400
2012-10-22 14:20:00,1400
2012-10-23 13:15:00,400
2012-10-25 10:05:00,560
2012-10-29 13:40:00,6500
2012-11-02 10:02:00,1100
2012-11-05 12:10:00,790
2012-11-07 09:00:00,1100
2012-11-12 14:31:00,1100
2012-11-15 13:45:00,510
2012-11-19 09:05:00,230
2012-11-22 10:00:00,440
2012-11-26 09:35:00,1600
2012-11-30 08:50:00,1400
2012-12-03 13:00:00,440
2012-12-06 09:40:00,170
2012-12-10 14:32:00,300
2012-12-11 10:40:00,270
2012-12-13 00:00:00,260
2012-12-17 14:12:00,420
2012-12-19 10:55:00,500
2012-12-20 10:06:00,300
2012-12-25 07:15:00,570
2012-12-27 10:18:00,960
2013-01-01 11:15:00,3400
2013-01-03 09:50:00,1400
2013-01-07 13:15:00,540
2013-01-09 13:09:00,1500
2013-01-15 11:55:00,460
2013-01-21 13:45:00,440
2013-01-25 09:05:00,270
2013-01-28 14:45:00,480
2013-01-31 10:50:00,990
2013-02-04 14:25:00,1100
2013-02-08 09:10:00,280
2013-02-11 14:15:00,910
2013-02-12 09:30:00,620
2013-02-14 10:50:00,340
2013-02-15 09:05:00,380
2013-02-18 13:30:00,990
2013-02-20 10:50:00,650
2013-02-21 09:00:00,630
2013-02-22 08:57:00,700
2013-02-25 10:10:00,500
2013-02-28 10:10:00,280
2013-03-04 13:55:00,440
2013-03-07 08:25:00,190
2013-03-11 13:35:00,63
2013-03-14 08:50:00,95
2013-03-18 14:00:00,280
2013-03-21 09:25:00,230
2013-03-25 13:15:00,120
2013-03-28 09:05:00,230
2013-04-02 00:00:00,96
2013-04-04 09:53:00,150
2013-04-08 09:30:00,98
2013-04-11 10:40:00,98
2013-04-15 13:45:00,780
2013-04-17 08:10:00,480
2013-04-22 11:50:00,310
2013-04-25 09:30:00,750
2013-04-29 13:50:00,680
2013-05-02 09:05:00,780
2013-05-06 11:45:00,200
2013-05-10 09:37:00,910
2013-05-13 14:30:00,200
2013-05-16 12:20:00,21
2013-05-17 13:00:00,380
2013-05-20 14:25:00,580
2013-05-23 08:25:00,490
2013-05-28 12:05:00,400
2013-05-30 09:26:00,240
2013-06-03 13:33:00,220
2013-06-07 08:58:00,190
2013-06-10 10:30:00,880
2013-06-11 10:25:00,460
2013-06-13 09:10:00,840
2013-06-17 15:13:00,960
2013-06-20 08:30:00,250
2013-06-24 15:20:00,1600
2013-06-25 09:37:00,580
2013-06-26 14:08:00,380
2013-06-27 08:40:00,510
2013-07-01 09:38:00,790
2013-07-04 09:00:00,1500
2013-07-08 10:53:00,310
2013-07-11 12:20:00,280
2013-07-15 14:00:00,1500
2013-07-18 09:23:00,960
2013-07-22 09:30:00,640
2013-07-25 09:06:00,660
2013-07-29 09:30:00,5500
2013-08-01 09:10:00,1400
2013-08-05 11:30:00,670
2013-08-08 09:17:00,470
2013-08-12 09:35:00,600
2013-08-15 14:05:00,390
2013-08-16 12:10:00,310
2013-08-19 14:07:00,620
2013-08-21 08:40:00,440
2013-08-22 09:38:00,280
2013-08-26 13:38:00,270
2013-08-29 08:05:00,380
2013-09-02 15:43:00,730
2013-09-05 12:58:00,460
2013-09-09 00:00:00,540
2013-09-12 11:50:00,240
2013-09-16 13:25:00,620
2013-09-19 09:30:00,210
2013-09-23 14:25:00,210
2013-09-26 10:25:00,170
2013-09-30 00:00:00,210
2013-10-03 12:25:00,320
2013-10-07 14:33:00,430
2013-10-10 10:00:00,4100
2013-10-14 12:00:00,700
2013-10-17 08:30:00,660
2013-10-18 10:34:00,500
2013-10-21 00:00:00,1200
2013-10-22 10:55:00,3100
2013-10-24 09:50:00,2700
2013-10-29 11:45:00,3800
2013-10-30 13:10:00,5800
2013-10-31 09:08:00,6500
2013-11-04 11:45:00,3100
2013-11-07 09:45:00,1800
2013-11-11 14:20:00,4400
2013-11-14 09:51:00,5500
2013-11-18 13:00:00,1900
2013-11-21 10:00:00,560
2013-11-25 14:10:00,810
2013-11-28 10:40:00,2000
2013-12-02 13:20:00,1100
2013-12-05 09:30:00,560
2013-12-09 13:10:00,960
2013-12-12 09:35:00,2000
2013-12-16 14:10:00,2400
2013-12-19 08:40:00,420
2013-12-23 15:36:00,2100
2013-12-26 08:30:00,2300
2013-12-30 00:00:00,990
2014-01-03 10:40:00,660
2014-01-07 13:20:00,830
2014-01-09 09:30:00,1400
2014-01-13 14:25:00,470
2014-01-17 08:40:00,620
2014-01-20 14:00:00,460
2014-01-23 09:50:00,200
2014-01-27 14:46:00,310
2014-01-30 10:10:00,220
2014-02-03 14:13:00,500
2014-02-06 10:40:00,270
2014-02-10 13:54:00,1400
2014-02-13 09:15:00,470
2014-02-17 13:22:00,1700
2014-02-18 10:55:00,920
2014-02-20 09:30:00,930
2014-02-24 13:46:00,1100
2014-02-27 09:39:00,670
2014-03-03 13:55:00,470
2014-03-06 10:41:00,410
2014-03-10 14:11:00,200
2014-03-13 09:50:00,270
2014-03-17 13:11:00,300
2014-03-20 10:50:00,330
2014-03-24 13:48:00,280
2014-03-27 08:45:00,350
2014-03-31 13:44:00,310
2014-04-03 09:45:00,170
2014-04-07 14:05:00,190
2014-04-08 08:51:00,320
2014-04-10 10:00:00,1400
2014-04-14 13:55:00,630
2014-04-17 08:45:00,410
2014-04-21 12:15:00,260
2014-04-24 09:43:00,190
2014-04-28 15:18:00,190
2014-05-02 09:55:00,190
2014-05-05 13:38:00,200
2014-05-08 10:10:00,330
2014-05-12 13:49:00,630
2014-05-14 12:00:00,790
2014-05-14 12:20:00,820
2014-05-14 12:42:00,720
2014-05-14 13:19:00,880
2014-05-15 09:18:00,340
2014-05-19 13:40:00,250
2014-05-22 10:20:00,190
2014-05-26 13:50:00,230
2014-05-28 11:05:00,350
2014-06-02 13:49:00,140
2014-06-05 10:18:00,290
2014-06-09 14:05:00,1600
2014-06-12 09:30:00,400
2014-06-16 14:05:00,200
2014-06-19 09:52:00,300
2014-06-23 13:52:00,460
2014-06-26 13:00:00,1500
2014-06-30 12:10:00,910
2014-07-03 14:10:00,1200
2014-07-07 14:06:00,450
2014-07-10 09:20:00,220
2014-07-14 13:53:00,670
2014-07-17 09:55:00,530
2014-07-21 14:11:00,990
2014-07-24 09:14:00,780
2014-07-28 13:35:00,2000
2014-07-31 09:23:00,1300
2014-08-04 13:33:00,1600
2014-08-08 08:35:00,1400
2014-08-11 13:47:00,640
2014-08-14 09:30:00,1300
2014-08-18 12:57:00,2200
2014-08-19 13:05:00,12000
2014-08-21 09:40:00,8200
2014-08-23 16:00:00,3300
2014-08-25 14:40:00,980
2014-08-28 09:30:00,860
2014-09-01 13:40:00,910
2014-09-04 11:45:00,650
2014-09-08 14:15:00,930
2014-09-10 13:47:00,960
2014-09-12 13:30:00,400
2014-09-15 14:31:00,300
2014-09-18 07:53:00,430
2014-09-22 13:48:00,1000
2014-09-25 09:27:00,1400
2014-09-29 00:00:00,480
2014-10-02 09:05:00,1300
2014-10-06 14:15:00,460
2014-10-09 10:17:00,740
2014-10-13 13:40:00,2400
2014-10-16 09:30:00,14000
2014-10-20 13:00:00,5500
2014-10-23 09:30:00,1200
2014-10-27 13:50:00,910
2014-10-30 08:10:00,880
2014-11-03 13:08:00,3700
2014-11-06 09:45:00,2400
2014-11-10 13:35:00,730
2014-11-13 12:22:00,310
2014-11-17 14:00:00,230
2014-11-20 10:35:00,320
2014-11-24 14:25:00,2200
2014-11-28 11:15:00,180
2014-12-01 14:10:00,110
2014-12-04 08:00:00,160
2014-12-08 14:10:00,2600
2014-12-11 11:25:00,4100
2014-12-16 11:44:00,1100
2014-12-17 13:00:00,1400
2014-12-22 14:20:00,390
2014-12-26 09:54:00,400
2014-12-29 13:15:00,210
2015-01-02 10:55:00,1800
2015-01-05 13:05:00,140
2015-01-08 10:15:00,1100
2015-01-12 13:30:00,860
2015-01-15 10:35:00,480
2015-01-19 11:30:00,670
2015-01-22 11:55:00,350
2015-01-26 08:46:00,180
2015-01-29 10:40:00,1500
2015-02-02 00:00:00,200
2015-02-05 12:25:00,480
2015-02-09 08:27:00,120
2015-02-10 12:20:00,240
2015-02-12 10:30:00,250
2015-02-16 08:20:00,150
2015-02-19 09:20:00,190
2015-02-23 09:20:00,150
2015-02-26 09:37:00,200
2015-03-02 09:03:00,190
2015-03-05 11:45:00,120
2015-03-09 11:33:00,360
2015-03-12 10:15:00,310
2015-03-16 08:30:00,200
2015-03-19 08:00:00,160
2015-03-23 09:20:00,360
2015-03-26 09:55:00,230
2015-03-30 10:15:00,120
2015-04-01 09:10:00,190
2015-04-06 07:00:00,52
2015-04-09 09:45:00,74
2015-04-13 10:35:00,30
2015-04-16 10:55:00,450
2015-04-20 09:20:00,73
2015-04-21 09:45:00,86
2015-04-23 08:45:00,120
2015-04-27 09:55:00,98
2015-04-28 14:39:00,250
2015-04-30 10:40:00,140
2015-05-04 09:15:00,91
2015-05-07 08:35:00,1300
2015-05-11 07:50:00,230
2015-05-13 09:00:00,3400
2015-05-18 08:50:00,110
2015-05-21 12:30:00,63
2015-05-22 11:30:00,140
2015-05-25 09:20:00,260
2015-05-27 14:05:00,600
2015-06-01 09:40:00,16000
2015-06-04 09:05:00,1700
2015-06-08 14:22:00,200
2015-06-11 09:49:00,290
2015-06-15 14:20:00,74
2015-06-18 10:05:00,360
2015-06-22 15:05:00,120
2015-06-23 09:40:00,180
2015-06-25 09:25:00,260
2015-06-29 14:20:00,260
2015-07-02 10:55:00,210
2015-07-06 14:20:00,520
2015-07-09 08:40:00,3100
2015-07-13 14:50:00,220
2015-07-16 10:46:00,260
2015-07-20 14:08:00,410
2015-07-23 09:27:00,200
2015-07-27 14:09:00,610
2015-07-30 09:20:00,670
2015-08-03 14:26:00,300
2015-08-06 08:30:00,340
2015-08-10 14:14:00,530
2015-08-13 09:50:00,560
2015-08-17 08:55:00,640
2015-08-18 11:55:00,500
2015-08-20 11:10:00,1100
2015-08-24 13:30:00,840
2015-08-27 10:50:00,750
2015-09-03 10:45:00,1300
2015-09-04 10:00:00,150
2015-09-07 09:30:00,5200
2015-09-08 15:20:00,2900
2015-09-09 14:00:00,1500
2015-09-11 09:45:00,550
2015-09-14 09:45:00,400
2015-09-17 11:00:00,6900
2015-09-21 09:35:00,380
2015-09-24 09:35:00,730
2015-09-28 12:11:00,360
2015-10-01 00:00:00,170
2015-10-05 09:45:00,150
2015-10-08 09:30:00,190
2015-10-12 09:55:00,90
2015-10-15 09:50:00,120
2015-10-19 09:35:00,90
2015-10-20 10:40:00,120
2015-10-23 11:00:00,400
2015-10-26 09:20:00,230
2015-10-29 11:36:00,160
2015-11-02 11:15:00,190
2015-11-05 11:51:00,200
2015-11-09 09:25:00,3300
2015-11-12 09:25:00,1500
